CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;FRE WEB;127428;2023-05-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=127428
00.000.000/0001-91;2023-12-31;2;BCO BRASIL S.A.;001023;FRE WEB;128450;2023-06-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128450
00.000.000/0001-91;2023-12-31;3;BCO BRASIL S.A.;001023;FRE WEB;128529;2023-06-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128529
00.000.000/0001-91;2023-12-31;4;BCO BRASIL S.A.;001023;FRE WEB;128891;2023-07-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128891
00.000.000/0001-91;2023-12-31;5;BCO BRASIL S.A.;001023;FRE WEB;129103;2023-07-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=129103
00.000.000/0001-91;2023-12-31;6;BCO BRASIL S.A.;001023;FRE WEB;130467;2023-08-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130467
00.000.000/0001-91;2023-12-31;7;BCO BRASIL S.A.;001023;FRE WEB;130800;2023-09-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130800
00.000.000/0001-91;2023-12-31;8;BCO BRASIL S.A.;001023;FRE WEB;130959;2023-09-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130959
00.000.000/0001-91;2023-12-31;9;BCO BRASIL S.A.;001023;FRE WEB;131149;2023-09-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131149
00.000.000/0001-91;2023-12-31;10;BCO BRASIL S.A.;001023;FRE WEB;131691;2023-10-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131691
00.000.000/0001-91;2023-12-31;11;BCO BRASIL S.A.;001023;FRE WEB;132703;2023-11-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132703
00.000.000/0001-91;2023-12-31;12;BCO BRASIL S.A.;001023;FRE WEB;133438;2024-01-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133438
00.000.000/0001-91;2023-12-31;13;BCO BRASIL S.A.;001023;FRE WEB;133718;2024-01-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133718
00.000.000/0001-91;2023-12-31;14;BCO BRASIL S.A.;001023;FRE WEB;133945;2024-02-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133945
00.000.000/0001-91;2023-12-31;15;BCO BRASIL S.A.;001023;FRE WEB;134127;2024-02-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=134127
00.000.000/0001-91;2023-12-31;16;BCO BRASIL S.A.;001023;FRE WEB;134452;2024-03-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=134452
