CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Orgao_Administracao;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta;Nao_Aplicavel
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Conselho de Administração - Efetivos;4;4;0;0;0;N
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Conselho Fiscal - Efetivos;1;4;0;0;0;N
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Conselho Fiscal - Suplentes;0;4;0;0;0;N
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Diretoria;9;23;0;0;0;N
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Conselho de Administração - Efetivos;0;8;0;0;0;N
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Conselho Fiscal - Efetivos;2;3;0;0;0;N
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Conselho Fiscal - Suplentes;0;4;0;0;0;N
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Diretoria;2;5;0;0;0;N
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Conselho de Administração - Efetivos;1;8;0;0;0;N
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Conselho Fiscal - Efetivos;0;4;0;1;0;N
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Conselho Fiscal - Suplentes;0;0;0;5;0;N
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Diretoria;2;9;0;0;0;N
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Conselho de Administração - Efetivos;0;4;0;0;4;N
