CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Descricao_Bem_Ativo;Pais;UF;Municipio;Tipo_Propriedade
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Lavoura de Cana-de-Açúcar;Brasil;GO;Barro Alto;Própria
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Lavoura de Cana-de-Açúcar;Brasil;GO;Vila Propício;Própria
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Lavoura de Cana-de-Açúcar;Brasil;GO;Santa Rita do Novo Destino;Própria
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Lavoura de Cana-de-Açúcar;Brasil;GO;São Luiz do Norte;Própria
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Lavoura de Cana-de-Açúcar;Brasil;GO;Santa Isabel;Própria
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Lavoura de Cana-de-Açúcar;Brasil;GO;Rialma;Própria
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Custo de Entressafra;Brasil;GO;Goianésia;Própria
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Edificações;Brasil;GO;Goianésia;Própria
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Maquinas, Equipamentos e Instalações;Brasil;GO;Goianésia;Própria
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Terrenos;Brasil;GO;Goianésia;Própria
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Veículos e Semirreboques;Brasil;GO;Goianésia;Própria
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Obras em Andamento;Brasil;GO;Goianésia;Própria
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Outros Imobilizados;Brasil;GO;Goianésia;Própria
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Lavoura de Cana-de-Açúcar;Brasil;GO;Goianésia;Própria
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Avanhandava;Brasil;SP;Avanhandava;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Colorado;Brasil;PR;Colorado;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Pedro Afonso;Brasil;TO;Pedro Afonso;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Caarapó;Brasil;MS;Caarapó;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Araras;Brasil;SP;Araras;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Olímpia;Brasil;SP;Olímpia;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Iturama;Brasil;SP;;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Matriz São Paulo;Brasil;SP;São Paulo;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Piracicaba;Brasil;SP;Piracicaba;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Camamu;Brasil;BA;Camamu;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial São Manuel;Brasil;SP;São Manuel;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Valparaíso;Brasil;SP;Valparaíso;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Novo Horizonte;Brasil;SP;Novo Horizonte;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Guaracai;Brasil;SP;;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Chavantes;Brasil;SP;Chavantes;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Cesário Lange;Brasil;SP;Cesário Lange;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Barrinha;Brasil;SP;Barrinha;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial São Joaquim da Barra;Brasil;SP;São Joaquim da Barra;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Coruripe;Brasil;SP;Andaraí;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Serra Azul;Brasil;SP;Serra Azul;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Vila Propício;Brasil;GO;Vila Propício;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Caçu;Brasil;GO;Caçu;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Quirinópolis;Brasil;GO;Quirinópolis;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Mineiros;Brasil;GO;Mineiros;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Barra dos Bugres;Brasil;MT;;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Mandaguaçu;Brasil;PR;Mandaguaçu;Arrendada
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Filial Rancharia;Brasil;SP;Rancharia;Arrendada
