CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Tipo_Ativo;Descricao_Ativo;Duracao;Evento_Perda_Direito;Consequencia_Perda_Direito
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Marcas;Registro nº 900709766, para a marca mista "JALLES MACHADO", na classe Ncl(9) 01;21/08/2032;No âmbito judicial, os registros de marcas já concedidos podem ser contestados por terceiros, através de processo de nulidade, na hipótese de (i) a marca não estar sendo utilizada tal e qual concedida (ii) a marca não estar sendo utilizada para assinalar todos os produtos ou serviços contidos no certificado de registro (iii) o registro ter sido concedido em desacordo com a Lei 9.279/96, ou (iv) por requerimento de caducidade parcial ou total, caso a marca esteja sendo utilizada de forma adversa da autorizada. Há, ainda, a possibilidade de o titular sofrer demandas judiciais na esfera penal e cível, por uso indevido de direitos de terceiros o que pode acarretar na impossibilidade de usar a marca na condução de suas atividades. A manutenção dos registros de marcas é realizada pelo pagamento periódico de contribuições ao INPI, de forma que o pagamento das devidas taxas é imprescindível para evitar a extinção dos registros.;A eventual perda dos direitos sobre as marcas registradas acarretaria o fim do direito de uso exclusivo sobre as mesmas e a Companhia enfrentaria dificuldades para impedir terceiros de utilizar marcas idênticas ou semelhantes, inclusive para identificar produtos ou serviços concorrentes.A Companhia acredita que não perderá os direitos sobre suas atuais marcas, no entanto, existe, a remota possibilidade de perda de algumas marcas consideradas estratégicas para a Companhia, o que poderá acarretar perda substancial do ativo da empresa.Há, ainda, a possibilidade de a Companhia sofrer demandas judiciais nas esferas penal e cível, por uso indevido de marca, em caso de violação de direitos de terceiros.
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Marcas;Registro nº 900709928, para a marca mista "JALLES MACHADO", na classe Ncl(9) 40;25/01/2031;No âmbito judicial, os registros de marcas já concedidos podem ser contestados por terceiros, através de processo de nulidade, na hipótese de (i) a marca não estar sendo utilizada tal e qual concedida (ii) a marca não estar sendo utilizada para assinalar todos os produtos ou serviços contidos no certificado de registro (iii) o registro ter sido concedido em desacordo com a Lei 9.279/96, ou (iv) por requerimento de caducidade parcial ou total, caso a marca esteja sendo utilizada de forma adversa da autorizada. Há, ainda, a possibilidade de o titular sofrer demandas judiciais na esfera penal e cível, por uso indevido de direitos de terceiros o que pode acarretar na impossibilidade de usar a marca na condução de suas atividades. A manutenção dos registros de marcas é realizada pelo pagamento periódico de contribuições ao INPI, de forma que o pagamento das devidas taxas é imprescindível para evitar a extinção dos registros.;A eventual perda dos direitos sobre as marcas registradas acarretaria o fim do direito de uso exclusivo sobre as mesmas e a Companhia enfrentaria dificuldades para impedir terceiros de utilizar marcas idênticas ou semelhantes, inclusive para identificar produtos ou serviços concorrentes.A Companhia acredita que não perderá os direitos sobre suas atuais marcas, no entanto, existe, a remota possibilidade de perda de algumas marcas consideradas estratégicas para a Companhia, o que poderá acarretar perda substancial do ativo da empresa.Há, ainda, a possibilidade de a Companhia sofrer demandas judiciais nas esferas penal e cível, por uso indevido de marca, em caso de violação de direitos de terceiros.
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Marcas;Registro nº 913848875, para a marca mista "ITAJÁ", na classe Ncl(11) 30;19/02/2029;No âmbito judicial, os registros de marcas já concedidos podem ser contestados por terceiros, através de processo de nulidade, na hipótese de (i) a marca não estar sendo utilizada tal e qual concedida (ii) a marca não estar sendo utilizada para assinalar todos os produtos ou serviços contidos no certificado de registro (iii) o registro ter sido concedido em desacordo com a Lei 9.279/96, ou (iv) por requerimento de caducidade parcial ou total, caso a marca esteja sendo utilizada de forma adversa da autorizada. Há, ainda, a possibilidade de o titular sofrer demandas judiciais na esfera penal e cível, por uso indevido de direitos de terceiros o que pode acarretar na impossibilidade de usar a marca na condução de suas atividades. A manutenção dos registros de marcas é realizada pelo pagamento periódico de contribuições ao INPI, de forma que o pagamento das devidas taxas é imprescindível para evitar a extinção dos registros.;A eventual perda dos direitos sobre as marcas registradas acarretaria o fim do direito de uso exclusivo sobre as mesmas e a Companhia enfrentaria dificuldades para impedir terceiros de utilizar marcas idênticas ou semelhantes, inclusive para identificar produtos ou serviços concorrentes.A Companhia acredita que não perderá os direitos sobre suas atuais marcas, no entanto, existe, a remota possibilidade de perda de algumas marcas consideradas estratégicas para a Companhia, o que poderá acarretar perda substancial do ativo da empresa.Há, ainda, a possibilidade de a Companhia sofrer demandas judiciais nas esferas penal e cível, por uso indevido de marca, em caso de violação de direitos de terceiros.
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Marcas;Registro nº 913848921, para a marca mista "ITAJÁ", na classe Ncl(11) 29;19/02/2029;No âmbito judicial, os registros de marcas já concedidos podem ser contestados por terceiros, através de processo de nulidade, na hipótese de (i) a marca não estar sendo utilizada tal e qual concedida (ii) a marca não estar sendo utilizada para assinalar todos os produtos ou serviços contidos no certificado de registro (iii) o registro ter sido concedido em desacordo com a Lei 9.279/96, ou (iv) por requerimento de caducidade parcial ou total, caso a marca esteja sendo utilizada de forma adversa da autorizada. Há, ainda, a possibilidade de o titular sofrer demandas judiciais na esfera penal e cível, por uso indevido de direitos de terceiros o que pode acarretar na impossibilidade de usar a marca na condução de suas atividades. A manutenção dos registros de marcas é realizada pelo pagamento periódico de contribuições ao INPI, de forma que o pagamento das devidas taxas é imprescindível para evitar a extinção dos registros.;A eventual perda dos direitos sobre as marcas registradas acarretaria o fim do direito de uso exclusivo sobre as mesmas e a Companhia enfrentaria dificuldades para impedir terceiros de utilizar marcas idênticas ou semelhantes, inclusive para identificar produtos ou serviços concorrentes.A Companhia acredita que não perderá os direitos sobre suas atuais marcas, no entanto, existe, a remota possibilidade de perda de algumas marcas consideradas estratégicas para a Companhia, o que poderá acarretar perda substancial do ativo da empresa.Há, ainda, a possibilidade de a Companhia sofrer demandas judiciais nas esferas penal e cível, por uso indevido de marca, em caso de violação de direitos de terceiros.
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Marcas;Registro nº 913848972, para a marca mista "ITAJÁ", na classe Ncl(11) 05;19/02/2029;No âmbito judicial, os registros de marcas já concedidos podem ser contestados por terceiros, através de processo de nulidade, na hipótese de (i) a marca não estar sendo utilizada tal e qual concedida (ii) a marca não estar sendo utilizada para assinalar todos os produtos ou serviços contidos no certificado de registro (iii) o registro ter sido concedido em desacordo com a Lei 9.279/96, ou (iv) por requerimento de caducidade parcial ou total, caso a marca esteja sendo utilizada de forma adversa da autorizada. Há, ainda, a possibilidade de o titular sofrer demandas judiciais na esfera penal e cível, por uso indevido de direitos de terceiros o que pode acarretar na impossibilidade de usar a marca na condução de suas atividades. A manutenção dos registros de marcas é realizada pelo pagamento periódico de contribuições ao INPI, de forma que o pagamento das devidas taxas é imprescindível para evitar a extinção dos registros.;A eventual perda dos direitos sobre as marcas registradas acarretaria o fim do direito de uso exclusivo sobre as mesmas e a Companhia enfrentaria dificuldades para impedir terceiros de utilizar marcas idênticas ou semelhantes, inclusive para identificar produtos ou serviços concorrentes.A Companhia acredita que não perderá os direitos sobre suas atuais marcas, no entanto, existe, a remota possibilidade de perda de algumas marcas consideradas estratégicas para a Companhia, o que poderá acarretar perda substancial do ativo da empresa.Há, ainda, a possibilidade de a Companhia sofrer demandas judiciais nas esferas penal e cível, por uso indevido de marca, em caso de violação de direitos de terceiros.
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Marcas;Registro nº 913849006, para a marca mista "ITAJÁ", na classe Ncl(11) 04;19/02/2029;No âmbito judicial, os registros de marcas já concedidos podem ser contestados por terceiros, através de processo de nulidade, na hipótese de (i) a marca não estar sendo utilizada tal e qual concedida (ii) a marca não estar sendo utilizada para assinalar todos os produtos ou serviços contidos no certificado de registro (iii) o registro ter sido concedido em desacordo com a Lei 9.279/96, ou (iv) por requerimento de caducidade parcial ou total, caso a marca esteja sendo utilizada de forma adversa da autorizada. Há, ainda, a possibilidade de o titular sofrer demandas judiciais na esfera penal e cível, por uso indevido de direitos de terceiros o que pode acarretar na impossibilidade de usar a marca na condução de suas atividades. A manutenção dos registros de marcas é realizada pelo pagamento periódico de contribuições ao INPI, de forma que o pagamento das devidas taxas é imprescindível para evitar a extinção dos registros.;A eventual perda dos direitos sobre as marcas registradas acarretaria o fim do direito de uso exclusivo sobre as mesmas e a Companhia enfrentaria dificuldades para impedir terceiros de utilizar marcas idênticas ou semelhantes, inclusive para identificar produtos ou serviços concorrentes.A Companhia acredita que não perderá os direitos sobre suas atuais marcas, no entanto, existe, a remota possibilidade de perda de algumas marcas consideradas estratégicas para a Companhia, o que poderá acarretar perda substancial do ativo da empresa.Há, ainda, a possibilidade de a Companhia sofrer demandas judiciais nas esferas penal e cível, por uso indevido de marca, em caso de violação de direitos de terceiros.
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Marcas;Registro nº 913849065, para a marca mista "ITAJÁ", na classe Ncl(11) 03;19/02/2029;No âmbito judicial, os registros de marcas já concedidos podem ser contestados por terceiros, através de processo de nulidade, na hipótese de (i) a marca não estar sendo utilizada tal e qual concedida (ii) a marca não estar sendo utilizada para assinalar todos os produtos ou serviços contidos no certificado de registro (iii) o registro ter sido concedido em desacordo com a Lei 9.279/96, ou (iv) por requerimento de caducidade parcial ou total, caso a marca esteja sendo utilizada de forma adversa da autorizada. Há, ainda, a possibilidade de o titular sofrer demandas judiciais na esfera penal e cível, por uso indevido de direitos de terceiros o que pode acarretar na impossibilidade de usar a marca na condução de suas atividades. A manutenção dos registros de marcas é realizada pelo pagamento periódico de contribuições ao INPI, de forma que o pagamento das devidas taxas é imprescindível para evitar a extinção dos registros.;A eventual perda dos direitos sobre as marcas registradas acarretaria o fim do direito de uso exclusivo sobre as mesmas e a Companhia enfrentaria dificuldades para impedir terceiros de utilizar marcas idênticas ou semelhantes, inclusive para identificar produtos ou serviços concorrentes.A Companhia acredita que não perderá os direitos sobre suas atuais marcas, no entanto, existe, a remota possibilidade de perda de algumas marcas consideradas estratégicas para a Companhia, o que poderá acarretar perda substancial do ativo da empresa.Há, ainda, a possibilidade de a Companhia sofrer demandas judiciais nas esferas penal e cível, por uso indevido de marca, em caso de violação de direitos de terceiros.
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Marcas;Registro nº 913849090, para a marca mista "ITAJÁ", na classe Ncl(11) 01;19/02/2029;No âmbito judicial, os registros de marcas já concedidos podem ser contestados por terceiros, através de processo de nulidade, na hipótese de (i) a marca não estar sendo utilizada tal e qual concedida (ii) a marca não estar sendo utilizada para assinalar todos os produtos ou serviços contidos no certificado de registro (iii) o registro ter sido concedido em desacordo com a Lei 9.279/96, ou (iv) por requerimento de caducidade parcial ou total, caso a marca esteja sendo utilizada de forma adversa da autorizada. Há, ainda, a possibilidade de o titular sofrer demandas judiciais na esfera penal e cível, por uso indevido de direitos de terceiros o que pode acarretar na impossibilidade de usar a marca na condução de suas atividades. A manutenção dos registros de marcas é realizada pelo pagamento periódico de contribuições ao INPI, de forma que o pagamento das devidas taxas é imprescindível para evitar a extinção dos registros.;A eventual perda dos direitos sobre as marcas registradas acarretaria o fim do direito de uso exclusivo sobre as mesmas e a Companhia enfrentaria dificuldades para impedir terceiros de utilizar marcas idênticas ou semelhantes, inclusive para identificar produtos ou serviços concorrentes.A Companhia acredita que não perderá os direitos sobre suas atuais marcas, no entanto, existe, a remota possibilidade de perda de algumas marcas consideradas estratégicas para a Companhia, o que poderá acarretar perda substancial do ativo da empresa.Há, ainda, a possibilidade de a Companhia sofrer demandas judiciais nas esferas penal e cível, por uso indevido de marca, em caso de violação de direitos de terceiros.
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Marcas;Registro nº 918526930, para a marca mista "LA TERRE", na classe Ncl(11) 29;21/07/2030;No âmbito judicial, os registros de marcas já concedidos podem ser contestados por terceiros, através de processo de nulidade, na hipótese de (i) a marca não estar sendo utilizada tal e qual concedida (ii) a marca não estar sendo utilizada para assinalar todos os produtos ou serviços contidos no certificado de registro (iii) o registro ter sido concedido em desacordo com a Lei 9.279/96, ou (iv) por requerimento de caducidade parcial ou total, caso a marca esteja sendo utilizada de forma adversa da autorizada. Há, ainda, a possibilidade de o titular sofrer demandas judiciais na esfera penal e cível, por uso indevido de direitos de terceiros o que pode acarretar na impossibilidade de usar a marca na condução de suas atividades. A manutenção dos registros de marcas é realizada pelo pagamento periódico de contribuições ao INPI, de forma que o pagamento das devidas taxas é imprescindível para evitar a extinção dos registros.;A eventual perda dos direitos sobre as marcas registradas acarretaria o fim do direito de uso exclusivo sobre as mesmas e a Companhia enfrentaria dificuldades para impedir terceiros de utilizar marcas idênticas ou semelhantes, inclusive para identificar produtos ou serviços concorrentes.A Companhia acredita que não perderá os direitos sobre suas atuais marcas, no entanto, existe, a remota possibilidade de perda de algumas marcas consideradas estratégicas para a Companhia, o que poderá acarretar perda substancial do ativo da empresa.Há, ainda, a possibilidade de a Companhia sofrer demandas judiciais nas esferas penal e cível, por uso indevido de marca, em caso de violação de direitos de terceiros.
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Marcas;Registro nº 918527805, para a marca mista "LA TERRE", na classe Ncl(11) 31;21/07/2030;No âmbito judicial, os registros de marcas já concedidos podem ser contestados por terceiros, através de processo de nulidade, na hipótese de (i) a marca não estar sendo utilizada tal e qual concedida (ii) a marca não estar sendo utilizada para assinalar todos os produtos ou serviços contidos no certificado de registro (iii) o registro ter sido concedido em desacordo com a Lei 9.279/96, ou (iv) por requerimento de caducidade parcial ou total, caso a marca esteja sendo utilizada de forma adversa da autorizada. Há, ainda, a possibilidade de o titular sofrer demandas judiciais na esfera penal e cível, por uso indevido de direitos de terceiros o que pode acarretar na impossibilidade de usar a marca na condução de suas atividades. A manutenção dos registros de marcas é realizada pelo pagamento periódico de contribuições ao INPI, de forma que o pagamento das devidas taxas é imprescindível para evitar a extinção dos registros.;A eventual perda dos direitos sobre as marcas registradas acarretaria o fim do direito de uso exclusivo sobre as mesmas e a Companhia enfrentaria dificuldades para impedir terceiros de utilizar marcas idênticas ou semelhantes, inclusive para identificar produtos ou serviços concorrentes.A Companhia acredita que não perderá os direitos sobre suas atuais marcas, no entanto, existe, a remota possibilidade de perda de algumas marcas consideradas estratégicas para a Companhia, o que poderá acarretar perda substancial do ativo da empresa.Há, ainda, a possibilidade de a Companhia sofrer demandas judiciais nas esferas penal e cível, por uso indevido de marca, em caso de violação de direitos de terceiros.
