CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Auditor;Auditor;CPF_Auditor;CNPJ_Auditor;Codigo_CVM_Auditor;Tipo_Origem_Auditor;Data_Inicio_Contratacao;Data_Fim_Contratacao;Data_Inicio_Prestacao_Servico;Servico_Contratado;Remuneracao_Auditor;Justificativa_Substituicao;Razao_Apresentada
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;123678;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567001940;003859;Nacional;2019-02-27;;2019-01-01;Prestação de serviços (i) de auditoria contábil sobre as demonstrações contábeis do Conglomerado Banco do Brasil, elaboradas de acordo com aspráticas contábeis adotadas no Brasil e com as normas internacionais de contabilidade (IFRS - International Financial Reporting Standards) emitidaspelo International Accounting Standards Board (IASB) e (ii) de outros serviços correlatos relativos ao exercício social encerrado em 31 de dezembrode 2022.;No ano de 2022 foram pagos (i) R$ 15.419.850,27 referentes ao contrato 201985580011, de prestação de serviços de auditoria contábil sobre asdemonstrações contábeis do Conglomerado Banco do Brasil e serviços correlatos, (ii) R$ 44.375,29 referentes aos contratos de não auditoria.;Não aplicável.;Não aplicável.
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;123679;KPMG AUDITORES INDEPENDENTES LTDA;;57755217001281;004189;Nacional;2024-03-11;;2024-03-23;Prestação de serviços de auditoria externa sobre as demonstrações contábeis do Conglomerado Banco do Brasil, elaboradas de acordo com as práticas contábeis adotadas no Brasil e com as normas internacionais de contabilidade (IFRS - Internacional Financial Reporting Standards) e de outros serviços correlatos;Não aplicável.;Término do contrato com a Deloitte e realização de processo licitatório, cuja empresa vencedora foi a KPMG.;Não aplicável.
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;122579;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2015-03-10;;2015-03-10;Novo contrato vigência a partir de abril/2023 com prazo de 24 meses prorrogáveis. Porém, a prestação de serviços especializados de auditoria independente das Demonstrações Financeiras, Individuais e consolidadas, das empresas do Conglomerado BRB e do Instituto BRB ocorre desde 2015, tendo a empresa vencido licitações ao longo desse período.;Exercício de 2022 R$ 1.864.167,09 para empresa BRB R$ 101.020,36 para Financeira BRB e R$ 231.869,09 para BRB-DTVM;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;123235;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2019-04-02;;2019-01-01;Os auditores independentes prestaram e/ou foram contratados para prestar os seguintes serviços:Período de seis meses findo em 30 de junho de 2023: (i) a revisão das informações financeiras trimestrais, referente aos trimestres de 31 de março e 30 de junho de 2023, preparada de acordo com o CPC 21 (R1) - Demonstração Intermediária e a IAS 34 - Interim Financial Reporting, emitida pelo International Accounting Standard Board - IASB (ii) exame dos controles internos segundo normas do IBRACON e da Lei Norte-Americana Sarbanes-Oxley - SOx, com a emissão de relatórios requeridos e (iii) prestação de serviços no âmbito da oferta de debêntures pela Companhia. Exercício de 2022: (i.a) serviços regulares de auditoria independente, sobre as demonstrações financeiras individuais, consolidadas e regulatórias, preparadas de acordo com as práticas contábeis adotadas no Brasil, elaboradas pelo Comitê de Pronunciamentos Contábeis (CPC) e pela Comissão de Valores Mobiliários ("CVM") e com as normas internacionais, elaboradas pela International Accounting Standards Board (IASB) e pela Securities Exchange Comission (SEC), referente ao exercício social encerrado em 31 de dezembro de 2022 (i.b) a revisão das informações financeiras trimestrais, referente aos trimestres de 31 de março, 30 de junho e 30 de setembro de 2022, preparada de acordo com o CPC 21 (R1) - Demonstração Intermediária e a IAS 34 - Interim Financial Reporting, emitida pelo International Accounting Standard Board - IASB (ii) exame dos controles internos segundo normas do IBRACON e da Lei Norte-Americana Sarbanes-Oxley - SOx, com a emissão de relatórios requeridos  e (iii) prestação de serviços no âmbito da oferta pública de ações de emissão da Companhia em ambiente nacional e internacional no decorrer do exercício social encerrado em 31 de dezembro de 2021 e período de três meses findo em 31 de março de 2022.;No exercício social encerrado em 31 de dezembro de 2022, os auditores independentes da Companhia, em contrapartida aos serviços prestados, receberam honorários que totalizaram o valor de R$32.416.981,71 (trinta e dois milhões, quatrocentos e dezesseis mil, novecentos e oitenta e um reais, e setenta e um centavos) (considerando os serviços prestados para a Companhia e para suas controladas, consolidadas nas demonstrações financeiras da Companhia), segregados da seguinte forma:Serviços descritos no item (i) acima: R$ 22.045.882,35. Serviços descritos no item (ii) acima: R$ 9.321.099,36. Serviços descritos no item (iii) acima: R$ 1.050.000,00.No período encerrado em 30 de junho 2023, os auditores independentes da Companhia, em contrapartida aos serviços prestados, receberam honorários que totalizaram o valor de R$ 15.189.731,93 (quinze milhões, cento e oitenta e nove mil, setecentos e trinta e um reais e noventa e três centavos) (considerando os serviços prestados para a Companhia e para suas controladas, consolidadas nas demonstrações financeiras da Companhia), segregados da seguinte forma:Serviços descritos no item (i) e (iii) acima: R$ 10.632.812,35. Serviços descritos no item (ii) acima: R$ 4.556.919,58.;Não aplicável.;Não aplicável.
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;122927;RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S;;13098174000180;011592;Nacional;2019-10-25;;2019-10-25;Contratação de Serviços Regulares de Auditoria Independente, compreendendo a Auditoria das Demonstrações Financeiras da Companhia Energética de Brasília - CEB, (Individual e Consolidada), relativas aos exercícios sociais a findarem-se em 31 de dezembro de 2019, 2020, 2021, 2022 e 2023 e a Revisão das Informações Trimestrais (ITRs), relativas aos trimestres a findarem-se em 31 de março, 30 de junho e 30 de setembro de 2019, 2020, 2021, 2022 e 2023. Inclui, também, a revisão dos procedimentos fiscais e tributários, o exame das informações complementares requeridas pela Comissão de Valores Mobiliários - CVM, bem como a emissão de outros relatórios especiais e documentos decorrentes dos serviços prestados, conforme Projeto Básico Conjunto nº 01/2018 - CEB e CEB Distribuição S/A, Anexo IV do Edital.;O valor global deste Contrato é de R$ 336.800,00 (trezentos e trinta e seis mil e oitocentos reais).;Artigo 28 da Resolução CVM 23/21;Não tem
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;122928;BDO RCS Auditores Independentes - Sociedade Simples Limitada;;54276936000179;010324;Nacional;2024-04-04;;2024-01-01;Auditoria das Demonstrações Financeiras Individuais e Consolidadas da Companhia Energética de Brasília - CEB relativas aos exercícios sociais que findarão em 2024, 2025, 2026, 2027 e 2028, correlata revisão das Informações Trimestrais - ITR's dos referidos exercícios e revisão dos procedimentos fiscais e tributários;R$ 234.000,00;Realização de novo processo licitatório em função do término de vigência do contrato anterior;Não houve discordância do auditor
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;121003;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567001860;003859;Nacional;2020-10-16;;2020-10-16;Os auditores independentes prestaram serviços relacionados: (i) à auditoria independente das demonstrações financeiras individuais e consolidadas da Caramuru Alimentos S.A. referentes ao exercício social encerrado em 31 de dezembro de 2022, revisão das informações financeiras intermediárias referentes aos trimestres findos em 31 de março e 30 de junho, bem como em 30 de setembro de 2022, preparadas de acordo com as práticas contábeis adotadas no Brasil (BR GAAP) e com os International Financial Reporting Standards - IFRS e (ii) auditoria das demonstrações financeiras individuais da Intergrain Ltd. (empresa controlada) e (iii) honorários para realização de procedimentos pré-acordados para emissão de carta conforto, em conexão com oferta de CRA.;(i) Auditoria independente das demonstrações individuais e consolidadas de 2022: R$ 1.650.000(ii) Honorários emissão carta conforto CRA: R$ 941.000;Não aplicável;Não aplicável
00.192.769/0001-59;2023-12-31;1;127620;NEUMARKT TRADE AND FINANCIAL CENTER S/A;115678;Taticca Auditores Independentes S/S;;20840718000101;012220;Nacional;2022-01-01;;2022-01-01;Auditoria das Demonstrações Financeiras e Revisão das Informações Trimestrais - ITRs. Parecer do Auditor Independente.;R$ 25.000,00;Não houve substituição.;Não houve discordância.
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;123832;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2021-05-04;;2021-05-04;Os serviços contratados pela Companhia com auditores independentes incluem: (i)Serviços de auditoria e emissão de relatórios sobre as demonstrações financeiras individuais e consolidadas referentes ao exercício social a ser encerrado em 31 de dezembro de 2021 (ii)Revisão limitada das informações contábeis intermediárias relativas aos períodos de três, seis e nove meses findos em 31 de março, 30 de junho e 30 de setembro de 2021 (iii)Oferta no Brasil (Instrução CVM 476) 476) Carta de conforto, nos moldes do padrão previsto na CTA 2 23 Emissão de Carta de Conforto em Processo de Oferta de Títulos e Valores Mobiliários ("CTA 23 23") do Conselho Federal de Contabilidade ("CFCCFC") (iv)Oferta nos Estados Unidos (Rule 144A) - Carta de conforto nos moldes do padrão previsto na AU -C 92 920 Letters for Underwriters and Certain Other Requesting Parties emitido pelo American Institute of Certified Public Accountants - AICPA, esclarecendo que serão emitidas cartas de conforto distintas para a Oferta 144 144A (v)Oferta em outros países fora dos Estados Unidos da América e do Brasil (Reg S) - Carta de conforto nos moldes do padrão previsto na AU-C 920 style or type Letters for Underwriters and Certain Other Requesting Parties emitido pelo American Institute of Certified Public Accountants - AICPA, além de relatório de revisão limitada consolidado, para propósitos específicos, nos termos da NBC TA 800, referente ao período findo em 30 de junho de 2021, em português e inglês (vi)Serviços de auditoria e emissão de relatórios sobre as demonstrações financeiras individuais e consolidadas da SEB - Southern Eletric Brasil Participações Ltda para o exercício a findar-se em 31 de dezembro de 2021, elaboradas de acordo com as práticas contábeis adotadas no Brasil (BR GAAP) e com as normas internacionais de relatório financeiro (IFRS) emitidas pelo International Accounting Standards Board (IASB), com free translation e (vii)Realizar a revisão e emitir relatório sobre as Informações Trimestrais (ITRs) individuais e consolidadas requeridas pela Comissão de Valores Mobiliários para os trimestres em 31 de março, 30 de junho e 30 de setembro, do exercício de 2021, para a SEB - Southern Eletric Brasil Participações Ltda, com free translation.;O montante total da remuneração contratada aos auditores independentes no exercício social encerrado em 31 de dezembro de 2021 foi de R$ 2.656.715,32 referentes aos itens (i) e (ii), R$ 1.399.416,91 referentes aos itens (iii), (iv) e (v) e R$ 500.291,55 referentes aos itens (vi) e (vii) totalizando um montante de R$ 4.556.423,78.;A referida substituição contou com a anuência da KPMG e visa trazer benefícios de ordem prática relacionados à otimização de processos e controles internos no atendimento à auditoria independente.;Não aplicável.
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;123833;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2022-04-22;;2022-04-22;(i) auditoria e emissão de relatório sobre as demonstrações financeiras individuais e consolidadas para o exercício findo em 31 de dezembro de 2022, elaboradas de acordo com as práticas contábeis adotadas no Brasil e com as normas internacionais de relatório financeiro (IFRS) emitidas pelo International Accounting Standards Board (IASB), com free translation (ii) realização de revisão e emissão de relatório sobre as Informações Trimestrais (ITRs) individuais e consolidadas requeridas pela Comissão de Valores Mobiliários para os trimestres findos em 31 de março, 30 de junho e 30 de setembro de 2022 para a AES Brasil Energia S.A. e AES Brasil Operações S.A. e (iii) auditoria e emissão de relatório sobre a aplicação de procedimentos previamente acordados sobre o Relatório de Controle Patrimonial - RCP, elaborado segundo a norma da resolução Aneel 367/2009, devendo atender ao programa de trabalho definido no anexo 1 do Manual de Orientação dos Trabalhos de Auditoria de Relatório de Controle Patrimonial - RCP.;O montante total da remuneração contratada aos auditores independentes no exercício social encerrado em 31 de dezembro de 2022 foi de R$ 2.211.882,76.;Não aplicável.;Não aplicável.
