CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;314431;Capital Emitido;2023-04-27;120000000000.00;;5730834040;0;0
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;314432;Capital Subscrito;2023-04-27;120000000000.00;;5730834040;0;0
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;314433;Capital Integralizado;2023-04-27;120000000000.00;;5730834040;0;0
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;311947;Capital Emitido;2020-08-03;1300000000.00;;280146500;82900000;363046500
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;311948;Capital Subscrito;2020-08-03;1300000000.00;;280146500;82900000;363046500
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;311949;Capital Integralizado;2020-08-03;1300000000.00;;280146500;82900000;363046500
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;311950;Capital Autorizado;2020-08-03;0.00;;555624000;164376000;720000000
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;313454;Capital Emitido;2023-01-05;70099825620.79;Não Aplicável;2027011498;280088314;2307099812
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;313455;Capital Subscrito;2023-01-05;70099825620.79;Não aplicável.;2027011498;280088314;2307099812
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;313456;Capital Integralizado;2023-01-05;70099825620.79;Não aplicável.;2027011498;280088314;2307099812
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;313457;Capital Autorizado;2022-11-04;29900174379.21;;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;312723;Capital Integralizado;2021-10-14;566025355.62;;35920890;36161025;72081915
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;308157;Capital Emitido;2022-04-18;1650639281.75;Não aplicável;24444000;0;24444000
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;308158;Capital Subscrito;2022-04-18;1650639281.75;Não aplicável;24444000;0;24444000
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;308159;Capital Integralizado;2022-04-18;1650639281.75;Não aplicável;24444000;0;24444000
00.192.769/0001-59;2023-12-31;1;127620;NEUMARKT TRADE AND FINANCIAL CENTER S/A;294656;Capital Autorizado;1994-08-23;10000.00;;10000;0;10000
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;314789;Capital Autorizado;2021-05-13;4600000000.00;;0;0;0
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;314790;Capital Emitido;2022-12-05;1799261667.36;Totalmente integralizado;2014441535;0;0
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;314791;Capital Subscrito;2022-12-05;1799261667.36;Totalmente integralizado;2014441535;0;0
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;314792;Capital Integralizado;2022-12-05;1799261667.36;;2014441535;0;0
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;314860;Capital Autorizado;2021-05-07;2000000000.00;N/A;0;0;0
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;314861;Capital Emitido;2024-04-30;1134339481.70;N.A.;346494097;0;346494097
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;314862;Capital Subscrito;2024-04-30;1134339481.70;N.A.;346494097;0;346494097
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;314863;Capital Integralizado;2024-04-30;1134339481.70;N.A.;346494097;0;346494097
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;310205;Capital Integralizado;2024-02-27;2743855.79;;26286458;52572756;78859214
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;310206;Capital Emitido;2024-02-27;2743855.79;;26286458;52572756;78859214
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;310207;Capital Subscrito;2024-02-27;2743855.79;;26286458;52572756;78859214
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;312701;Capital Integralizado;2022-12-27;3474498085.47;;67975599;18407491;86383090
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;312702;Capital Subscrito;2022-12-27;3474498085.47;;67975599;18407491;86383090
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;310540;Capital Integralizado;2021-04-29;13914270.83;;23804898;0;23804898
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;314571;Capital Autorizado;2018-06-29;100000000000.00;;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;314572;Capital Emitido;2022-10-20;20344503780.65;;1000000;0;1000000
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;314573;Capital Subscrito;2022-10-20;20344503780.65;;1000000;0;1000000
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;314574;Capital Integralizado;2022-10-20;20344503780.65;;1000000;0;1000000
00.389.481/0001-79;2023-12-31;6;136664;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;313538;Capital Subscrito;2022-04-30;1093350865.39;;211815;0;211815
00.389.481/0001-79;2023-12-31;6;136664;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;313539;Capital Integralizado;2022-04-30;1093350865.39;;211815;0;211815
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;303212;Capital Subscrito;2022-03-11;2622124390.53;21/10/2022;454331401;0;454331401
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;303213;Capital Integralizado;2022-03-11;2548384329.14;;454331401;0;454331401
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;303214;Capital Integralizado;2021-12-15;1933384329.14;;352823928;0;352823928
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;303215;Capital Integralizado;2021-06-24;1673384330.74;;307533270;0;307533270
