CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;1143917;14856;1266;2842247534;49.596000;0;0.000000;2842247534;49.596000;2024-04-15
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2843;33;0;39346566;14.045000;2608000;3.146000;41954566;11.556000;2023-04-28
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;144406;10701;677;1977170723;97.541000;268875696;95.997000;2246046419;97.354000;2024-04-26
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;8661;78;18;2444275;6.805000;11864425;32.810000;14308700;19.851000;2023-04-28
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;7;4;0;2444400;10.000000;0;0.000000;2444400;10.000000;2023-04-18
00.192.769/0001-59;2023-12-31;1;127620;NEUMARKT TRADE AND FINANCIAL CENTER S/A;0;1;0;0;0.000000;0;0.000000;0;0.000000;2014-08-29
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-27
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;1996;24;180;171399108;49.535000;0;0.000000;171399108;49.535000;2023-04-28
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2024-02-27
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;6791;1537;29;940619;1.384000;2170716;11.793000;3111335;3.602000;2023-04-20
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;5316;27;0;5440635;22.855000;0;0.000000;5440635;22.855000;2023-04-24
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;0;1;0;0;0.000000;0;0.000000;0;0.000000;2019-04-30
00.389.481/0001-79;2023-12-31;6;136664;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;2;1;0;211815;100.000000;0;0.000000;211815;100.000000;2023-04-30
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-09-12
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;30;15;0;108594443;27.000000;187196746;48.723000;295791189;37.613000;2023-04-26
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;0;3;1;41758317;19.378000;0;0.000000;41758317;19.378000;2019-09-09
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;213966;934;111;630687127;69.880000;0;0.000000;630687127;69.880000;2024-05-21
