CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Especie_Acao;Classe_Acao;Dividendo_Distribuido;Montante;Data_Pagamento_Dividendo
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2020-04-01;2021-03-31;Ordinária;;Dividendo Obrigatório;40873620.17;2021-08-24
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2020-04-01;2021-03-31;Ordinária;;Outros;30072840.75;2021-08-24
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2019-04-01;2020-03-31;Ordinária;;Dividendo Obrigatório;4605148.68;2021-03-31
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2019-04-01;2020-03-31;Ordinária;;Juros Sobre Capital Próprio;0.00;
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2020-04-01;2021-03-31;Ordinária;;Juros Sobre Capital Próprio;0.00;
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2020-04-01;2021-03-31;Ordinária;;Dividendo Obrigatório;25744430.00;2021-08-30
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2021-04-01;2022-03-31;Ordinária;;Dividendo Obrigatório;31825712.50;2022-07-29
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2019-07-01;2020-06-30;Ordinária;;Outros;13606000.00;2020-11-11
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2019-07-01;2020-06-30;Ordinária;;Dividendo Obrigatório;28394000.00;2020-11-11
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2020-07-01;2021-06-30;Ordinária;;Dividendo Obrigatório;75440864.47;2021-11-10
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2021-07-01;2022-06-30;Ordinária;;Dividendo Obrigatório;123523841.98;2022-11-16
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2019-04-01;2020-03-31;Ordinária;;Dividendo Obrigatório;0.00;
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2019-04-01;2020-03-31;Ordinária;;Juros Sobre Capital Próprio;0.00;
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2020-04-01;2021-03-31;Ordinária;;Dividendo Obrigatório;13545500.00;2020-10-29
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2020-04-01;2021-03-31;Ordinária;;Juros Sobre Capital Próprio;0.00;
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2021-04-01;2022-03-31;Ordinária;;Juros Sobre Capital Próprio;15194917.38;2022-06-30
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2021-04-01;2022-03-31;Ordinária;;Juros Sobre Capital Próprio;2326108.68;2022-06-30
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2021-04-01;2022-03-31;Ordinária;;Dividendo Obrigatório;110130379.67;2022-01-13
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;2019-04-01;2020-03-31;Ordinária;;Dividendo Obrigatório;374810000.00;2019-11-29
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;2019-04-01;2020-03-31;Ordinária;;Dividendo Obrigatório;205100000.00;2019-09-27
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;2019-04-01;2020-03-31;Ordinária;;Dividendo Obrigatório;767430000.00;2019-12-27
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;2019-04-01;2020-03-31;Ordinária;;Juros Sobre Capital Próprio;40000000.00;2019-09-27
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;2019-04-01;2020-03-31;Ordinária;;Juros Sobre Capital Próprio;37900000.00;2019-11-29
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;2021-04-01;2022-03-31;Ordinária;;Dividendo Obrigatório;137334759.46;2021-06-25
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;2021-04-01;2022-03-31;Ordinária;;Dividendo Obrigatório;324999999.98;2021-08-26
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;2021-04-01;2022-03-31;Ordinária;;Dividendo Obrigatório;933408811.54;2021-12-22
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;2021-04-01;2022-03-31;Ordinária;;Juros Sobre Capital Próprio;187665240.56;2021-06-25
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;2021-04-01;2022-03-31;Ordinária;;Juros Sobre Capital Próprio;49722058.90;2021-12-22
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;2021-04-01;2022-03-31;Ordinária;;Juros Sobre Capital Próprio;41725831.43;2022-03-24
