CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Classe;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta
00.000.000/0001-91;2023-12-31;19;137597;Liderança;2213;3759;6;10;25423
00.000.000/0001-91;2023-12-31;19;137597;Não-liderança;4623;4740;27;24;45128
00.000.208/0001-00;2023-12-31;13;135745;Liderança;257;439;0;0;0
00.000.208/0001-00;2023-12-31;13;135745;Não-liderança;1095;1661;0;0;0
00.001.180/0001-26;2023-12-31;23;136627;Liderança;218;689;0;0;0
00.001.180/0001-26;2023-12-31;23;136627;Não-liderança;1575;7188;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;Liderança;11;19;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;Não-liderança;19;33;0;0;0
00.080.671/0001-00;2023-12-31;3;133573;Liderança;54;167;0;0;0
00.080.671/0001-00;2023-12-31;3;133573;Não-liderança;477;1697;0;0;0
00.194.724/0001-13;2023-12-31;7;137743;Liderança;27;69;0;0;0
00.194.724/0001-13;2023-12-31;7;137743;Não-liderança;149;343;0;0;0
00.242.184/0001-04;2023-12-31;9;137763;Liderança;43;302;0;0;0
00.242.184/0001-04;2023-12-31;9;137763;Não-liderança;290;2809;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;Liderança;0;0;0;0;1
00.272.185/0001-93;2023-12-31;2;134548;Não-liderança;0;0;0;0;1
00.336.701/0001-04;2023-12-31;15;136065;Liderança;4;42;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;Não-liderança;133;221;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;Liderança;3;1;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;Não-liderança;16;3;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;Liderança;9;39;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;Não-liderança;29;60;0;0;0
00.622.416/0001-41;2023-12-31;3;131091;Liderança;14;31;0;0;0
00.622.416/0001-41;2023-12-31;3;131091;Não-liderança;73;146;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;Liderança;0;3;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;Não-liderança;16;48;0;0;0
00.743.065/0001-27;2023-12-31;6;135452;Liderança;0;0;0;0;1
00.743.065/0001-27;2023-12-31;6;135452;Não-liderança;0;0;0;0;1
00.776.574/0001-56;2023-12-31;14;138478;Liderança;4915;4452;0;0;0
00.776.574/0001-56;2023-12-31;14;138478;Não-liderança;17708;16555;0;0;0
00.864.214/0001-06;2023-12-31;19;137075;Liderança;265;942;0;0;0
00.864.214/0001-06;2023-12-31;19;137075;Não-liderança;2918;12407;0;0;0
00.924.429/0001-75;2023-12-31;9;137128;Liderança;30;176;0;0;0
00.924.429/0001-75;2023-12-31;9;137128;Não-liderança;463;4120;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;Liderança;3;3;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;Não-liderança;10;15;0;0;0
01.027.058/0001-91;2023-12-31;14;137009;Liderança;255;417;0;0;0
01.027.058/0001-91;2023-12-31;14;137009;Não-liderança;1753;2620;0;0;0
01.083.200/0001-18;2023-12-31;10;137710;Liderança;337;765;0;0;0
01.083.200/0001-18;2023-12-31;10;137710;Não-liderança;2620;11684;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;Liderança;1;0;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;Não-liderança;0;0;0;0;1
01.107.327/0001-20;2023-12-31;6;136712;Liderança;93;261;0;0;0
01.107.327/0001-20;2023-12-31;6;136712;Não-liderança;828;4369;0;0;0
01.258.944/0001-26;2023-12-31;6;137941;Liderança;111;374;0;0;0
01.258.944/0001-26;2023-12-31;6;137941;Não-liderança;856;6973;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;Liderança;77;273;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;Não-liderança;847;5256;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;Liderança;59;72;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;Não-liderança;136;200;0;2;0
01.548.981/0001-79;2023-12-31;3;136132;Liderança;0;0;0;0;1
01.548.981/0001-79;2023-12-31;3;136132;Não-liderança;0;0;0;0;1
01.599.101/0001-93;2023-12-31;32;137735;Liderança;113;308;0;0;0
01.599.101/0001-93;2023-12-31;32;137735;Não-liderança;1999;3211;0;0;0
01.637.895/0001-32;2023-12-31;8;133933;Liderança;274;714;0;0;0
01.637.895/0001-32;2023-12-31;8;133933;Não-liderança;1096;6311;0;0;0
01.838.723/0001-27;2023-12-31;11;135972;Liderança;823;2210;0;0;0
01.838.723/0001-27;2023-12-31;11;135972;Não-liderança;40408;52782;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;Liderança;0;0;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;Não-liderança;0;0;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;Liderança;216;174;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;Não-liderança;3353;1427;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;Liderança;0;6;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;Não-liderança;13;185;0;0;0
01.938.783/0001-11;2023-12-31;13;137376;Liderança;1;5;0;1;0
01.938.783/0001-11;2023-12-31;13;137376;Não-liderança;11;10;0;6;0
01.957.772/0001-89;2023-12-31;2;130691;Liderança;0;2;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;Não-liderança;1;2;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;Liderança;0;0;0;0;0
