CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Centro-Oeste;1500;2093;9;6;13111
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Exterior;0;5;0;0;14
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Nordeste;809;1394;3;6;11813
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Norte;204;277;1;5;3410
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Sudeste;3129;3286;13;12;29660
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Sul;1194;1444;7;5;12543
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Centro-Oeste;1303;1987;0;0;0
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Exterior;0;0;0;0;0
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Nordeste;38;88;0;0;0
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Norte;0;0;0;0;0
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Sudeste;11;25;0;0;0
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Sul;0;0;0;0;0
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Centro-Oeste;277;937;0;0;0
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Exterior;0;1;0;0;0
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Nordeste;482;2387;0;0;0
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Norte;136;1030;0;0;0
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Sudeste;696;2360;0;0;0
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Sul;202;1162;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Centro-Oeste;30;52;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Exterior;0;0;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Nordeste;0;0;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Norte;0;0;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Sudeste;0;0;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Sul;0;0;0;0;0
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Centro-Oeste;500;1720;0;0;0
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Exterior;0;0;0;0;0
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Nordeste;0;0;0;0;0
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Norte;4;9;0;0;0
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Sudeste;7;10;0;0;0
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Sul;20;125;0;0;0
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Centro-Oeste;0;0;0;0;0
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Exterior;0;0;0;0;0
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Nordeste;19;59;0;0;0
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Norte;0;0;0;0;0
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Sudeste;157;353;0;0;0
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Sul;0;0;0;0;0
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Centro-Oeste;23;432;0;0;0
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Exterior;0;0;0;0;0
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Nordeste;6;150;0;0;0
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Norte;4;80;0;0;0
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Sudeste;289;2119;0;0;0
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Sul;11;330;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Centro-Oeste;0;0;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Exterior;0;0;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Nordeste;0;0;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Norte;0;0;0;0;2
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Sudeste;0;0;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Sul;0;0;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Centro-Oeste;130;247;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Exterior;0;0;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Nordeste;5;2;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Norte;1;3;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Sudeste;1;6;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Sul;0;5;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Centro-Oeste;0;0;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Exterior;0;0;0;0;0
