CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Centro-Oeste;462;11453;643;4138;22;0;1
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Exterior;1;17;0;1;0;0;0
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Nordeste;108;7170;739;5970;37;0;1
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Norte;36;1669;189;1979;24;0;0
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Sudeste;1572;28380;1113;4985;45;0;5
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Sul;313;13604;210;1055;11;0;0
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Centro-Oeste;88;1868;162;1070;6;0;96
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Exterior;0;0;0;0;0;0;0
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Nordeste;4;50;10;61;0;0;1
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Norte;0;0;0;0;0;0;0
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Sudeste;1;23;2;7;0;0;3
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Sul;0;0;0;0;0;0;0
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Centro-Oeste;20;716;48;390;6;0;34
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Exterior;0;1;0;0;0;0;0
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Nordeste;25;1278;218;1314;11;0;23
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Norte;8;381;73;668;10;0;26
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Sudeste;36;2134;141;518;7;0;220
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Sul;8;1233;42;77;0;0;4
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Centro-Oeste;0;42;6;32;0;0;2
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Exterior;0;0;0;0;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Nordeste;0;0;0;0;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Norte;0;0;0;0;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Sudeste;0;0;0;0;0;0;0
