CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Ate30Anos;Quantidade_30a50Anos;Quantidade_Acima50Anos
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Centro-Oeste;755;13275;2689
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Exterior;0;12;7
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Nordeste;497;11151;2377
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Norte;301;2967;629
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Sudeste;864;25802;9434
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Sul;382;11614;3197
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Centro-Oeste;327;2400;563
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Exterior;0;0;0
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Nordeste;9;107;10
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Norte;0;0;0
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Sudeste;3;21;12
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Sul;0;0;0
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Centro-Oeste;0;620;594
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Exterior;0;1;0
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Nordeste;20;1645;1204
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Norte;0;573;593
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Sudeste;1;1605;1450
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Sul;6;861;497
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Centro-Oeste;6;58;18
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Exterior;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Nordeste;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Norte;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Sudeste;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Sul;0;0;0
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Centro-Oeste;777;1149;294
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Exterior;0;0;0
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Nordeste;0;0;0
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Norte;6;6;1
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Sudeste;5;8;4
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Sul;16;76;53
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Centro-Oeste;0;0;0
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Exterior;0;0;0
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Nordeste;20;56;2
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Norte;0;0;0
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Sudeste;111;340;59
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Sul;0;0;0
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Centro-Oeste;143;261;51
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Exterior;0;0;0
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Nordeste;34;96;26
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Norte;31;50;3
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Sudeste;777;1301;330
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Sul;66;220;55
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Centro-Oeste;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Exterior;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Nordeste;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Norte;2;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Sudeste;0;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Sul;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Centro-Oeste;20;241;116
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Exterior;0;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Nordeste;0;6;1
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Norte;0;1;3
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Sudeste;0;2;5
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Sul;0;2;3
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Centro-Oeste;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Exterior;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Nordeste;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Norte;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Sudeste;19;4;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Sul;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Centro-Oeste;0;2;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Exterior;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Nordeste;0;2;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Norte;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Sudeste;8;100;25
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Sul;0;0;0
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Centro-Oeste;1;4;0
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Exterior;0;4;0
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Nordeste;10;32;3
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Norte;1;3;0
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Sudeste;9;48;6
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Sul;42;98;3
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Centro-Oeste;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Exterior;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Nordeste;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Norte;2;32;10
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Sudeste;5;16;2
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Sul;0;0;0
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Centro-Oeste;0;0;0
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Exterior;0;0;2
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Nordeste;0;0;0
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Norte;0;0;0
