CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Posicao;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Liderança;710;23296;955;6420;30;0;0
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Não-liderança;1782;38997;1939;11708;109;0;7
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Liderança;17;381;35;246;1;0;16
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Não-liderança;76;1560;139;892;5;0;84
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Liderança;10;651;25;190;2;0;29
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Não-liderança;87;5092;497;2777;32;0;278
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Liderança;0;16;3;11;0;0;0
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Não-liderança;0;26;3;21;0;0;2
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Liderança;2;162;7;50;0;0;0
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Não-liderança;38;955;188;965;4;0;24
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Liderança;1;60;2;4;0;0;29
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Não-liderança;0;203;6;44;0;0;239
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Liderança;4;102;20;80;0;0;139
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Não-liderança;25;805;258;1137;3;0;871
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Liderança;0;0;0;0;0;0;1
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Não-liderança;0;0;0;0;0;0;1
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Liderança;0;0;0;0;0;0;46
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Não-liderança;0;0;0;0;0;0;354
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Liderança;0;4;0;0;0;0;0
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Não-liderança;0;19;0;0;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Liderança;1;39;0;5;0;0;3
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Não-liderança;0;69;6;13;0;0;1
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Liderança;0;0;0;0;0;0;45
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Não-liderança;0;0;0;0;0;0;219
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Liderança;0;3;0;0;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Não-liderança;2;36;5;21;0;0;0
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;1
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;1
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Liderança;105;2841;728;5625;12;0;56
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Não-liderança;617;8756;3687;20961;44;0;198
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Liderança;10;747;43;395;0;0;12
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Não-liderança;188;6142;1393;7422;32;0;148
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Liderança;4;119;11;72;0;0;0
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Não-liderança;46;1511;547;2466;6;0;7
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Liderança;0;3;0;3;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Não-liderança;0;18;0;7;0;0;0
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Liderança;19;531;15;107;0;0;0
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Não-liderança;79;2889;293;1104;6;0;2
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Liderança;25;748;49;279;1;0;0
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Não-liderança;155;5237;1824;6628;33;0;427
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Liderança;0;1;0;0;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Não-liderança;0;0;0;0;0;0;1
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Liderança;0;298;6;21;1;0;28
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Não-liderança;9;3848;366;735;21;0;218
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Liderança;3;407;9;64;0;0;2
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Não-liderança;65;4704;707;2303;30;0;20
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Liderança;0;293;10;46;1;0;0
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Não-liderança;14;3290;801;1884;111;0;3
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Liderança;2;81;2;46;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Não-liderança;5;161;13;158;1;0;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Liderança;0;0;0;0;0;0;1
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Não-liderança;0;0;0;0;0;0;1
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Liderança;3;281;25;96;1;15;0
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Não-liderança;32;2866;602;1465;8;237;0
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Liderança;32;717;55;177;2;0;5
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Não-liderança;117;3884;765;2546;21;0;74
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Liderança;49;1798;118;647;5;416;0
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Não-liderança;1079;38613;9351;33103;529;10515;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Liderança;0;0;0;0;0;0;390
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Não-liderança;0;0;0;0;0;0;4780
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Liderança;0;4;0;1;0;0;1
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Não-liderança;3;107;17;55;0;0;16
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Liderança;0;4;1;1;0;1;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Não-liderança;1;4;7;8;0;7;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Liderança;0;2;0;0;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Não-liderança;0;3;0;0;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Liderança;0;0;0;0;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Não-liderança;0;0;0;0;0;0;0
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Liderança;28;955;41;241;1;0;0
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Não-liderança;200;7096;1107;3768;17;0;1
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;1
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;1
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Liderança;0;0;0;0;0;0;81
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Não-liderança;0;0;0;0;0;0;750
02.217.319/0001-07;2023-12-31;5;135772;YBYRÁ CAPITAL S.A.;Liderança;0;0;0;0;0;0;1
02.217.319/0001-07;2023-12-31;5;135772;YBYRÁ CAPITAL S.A.;Não-liderança;0;0;0;0;0;0;1
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;Liderança;4;108;4;9;0;0;62
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;Não-liderança;10;479;35;125;1;4;836
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;Liderança;0;1;0;0;0;0;0
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;Não-liderança;0;5;0;0;0;0;0
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;Liderança;0;0;0;0;0;0;1
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;Não-liderança;0;0;0;0;0;0;1
02.302.101/0001-42;2023-12-31;9;135805;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Liderança;0;0;0;0;0;0;67
02.302.101/0001-42;2023-12-31;9;135805;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Não-liderança;0;0;0;0;0;0;346
02.328.280/0001-97;2023-12-31;9;135991;ELEKTRO REDES S.A.;Liderança;6;224;4;30;0;0;0
02.328.280/0001-97;2023-12-31;9;135991;ELEKTRO REDES S.A.;Não-liderança;26;2284;210;811;4;0;16
02.338.534/0001-58;2023-12-31;2;135907;LONGDIS S.A.;Liderança;0;0;0;0;0;0;1
02.338.534/0001-58;2023-12-31;2;135907;LONGDIS S.A.;Não-liderança;0;0;0;0;0;0;1
02.351.144/0001-18;2023-12-31;9;135755;TEGMA GESTAO LOGISTICA S.A.;Liderança;6;153;22;72;0;2;6
02.351.144/0001-18;2023-12-31;9;135755;TEGMA GESTAO LOGISTICA S.A.;Não-liderança;27;744;158;488;4;9;23
02.351.877/0001-52;2023-12-31;27;136130;LWSA S/A;Liderança;11;470;23;72;1;0;95
02.351.877/0001-52;2023-12-31;27;136130;LWSA S/A;Não-liderança;26;1842;227;627;8;0;496
02.357.251/0001-53;2023-12-31;6;136120;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;Liderança;0;35;0;1;0;0;0
02.357.251/0001-53;2023-12-31;6;136120;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;Não-liderança;0;292;58;24;1;0;0
02.365.069/0001-44;2023-12-31;6;135744;PADTEC HOLDING S.A.;Liderança;0;0;0;0;0;0;1
02.365.069/0001-44;2023-12-31;6;135744;PADTEC HOLDING S.A.;Não-liderança;0;0;0;0;0;0;1
02.387.241/0001-60;2023-12-31;17;137808;RUMO S.A.;Liderança;3;407;9;64;0;0;2
02.387.241/0001-60;2023-12-31;17;137808;RUMO S.A.;Não-liderança;65;4704;707;2303;30;0;20
02.397.080/0001-96;2023-12-31;3;135956;ITAPEBI GERACAO DE ENERGIA S.A.;Liderança;0;31;2;4;0;0;0
02.397.080/0001-96;2023-12-31;3;135956;ITAPEBI GERACAO DE ENERGIA S.A.;Não-liderança;2;40;13;11;1;0;2
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;Liderança;9;699;21;104;0;0;4
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;Não-liderança;112;5142;879;2645;13;0;155
02.429.144/0001-93;2023-12-31;6;137649;CPFL ENERGIA S.A.;Liderança;6;5;1;0;0;0;0
02.429.144/0001-93;2023-12-31;6;137649;CPFL ENERGIA S.A.;Não-liderança;1;2;0;0;0;0;3
02.474.103/0001-19;2023-12-31;11;136621;ENGIE BRASIL ENERGIA S.A.;Liderança;2;220;11;52;0;0;0
02.474.103/0001-19;2023-12-31;11;136621;ENGIE BRASIL ENERGIA S.A.;Não-liderança;7;722;38;162;1;0;0
02.502.844/0001-66;2023-12-31;5;136583;RUMO MALHA PAULISTA S.A.;Liderança;3;407;9;64;0;0;2
02.502.844/0001-66;2023-12-31;5;136583;RUMO MALHA PAULISTA S.A.;Não-liderança;65;4704;707;2303;30;0;20
02.558.157/0001-62;2023-12-31;7;135834;TELEFÔNICA BRASIL S.A;Liderança;58;3032;173;748;4;107;0
02.558.157/0001-62;2023-12-31;7;135834;TELEFÔNICA BRASIL S.A;Não-liderança;475;17155;2476;7699;34;1001;0
02.591.787/0001-39;2023-12-31;4;127141;CAPITALPART PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;0
02.591.787/0001-39;2023-12-31;4;127141;CAPITALPART PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;0
02.664.042/0001-52;2023-12-31;2;135883;TERMINAL GARAGEM MENEZES CORTES S.A.;Liderança;0;0;0;5;0;0;0
02.664.042/0001-52;2023-12-31;2;135883;TERMINAL GARAGEM MENEZES CORTES S.A.;Não-liderança;0;0;0;42;0;0;0
02.762.121/0001-04;2023-12-31;9;136600;SANTOS BRASIL PARTICIPACOES S.A.;Liderança;4;159;11;86;0;0;39
02.762.121/0001-04;2023-12-31;9;136600;SANTOS BRASIL PARTICIPACOES S.A.;Não-liderança;20;1220;175;896;7;2;645
02.762.124/0001-30;2023-12-31;2;136559;BETAPART PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;0
02.762.124/0001-30;2023-12-31;2;136559;BETAPART PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;0
02.796.775/0001-40;2023-12-31;2;136560;GAMA PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;0
02.796.775/0001-40;2023-12-31;2;136560;GAMA PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;0
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;Liderança;41;1320;100;434;0;0;42
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;Não-liderança;340;11075;1528;5615;26;0;2824
02.846.056/0001-97;2023-12-31;10;136034;CCR S.A.;Liderança;33;783;259;236;6;0;618
02.846.056/0001-97;2023-12-31;10;136034;CCR S.A.;Não-liderança;118;4864;1938;1955;32;0;6357
02.860.694/0001-62;2023-12-31;10;137709;T4F ENTRETENIMENTO S.A.;Liderança;0;11;1;8;0;0;0
02.860.694/0001-62;2023-12-31;10;137709;T4F ENTRETENIMENTO S.A.;Não-liderança;1;42;6;16;0;0;0
02.916.265/0001-60;2023-12-31;10;137802;JBS S.A.;Liderança;157;7661;701;1428;23;3892;0
02.916.265/0001-60;2023-12-31;10;137802;JBS S.A.;Não-liderança;5462;92854;27992;54934;2014;62161;0
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;Liderança;17;792;26;439;0;6;0
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;Não-liderança;207;4115;613;4470;26;72;0
02.950.811/0001-89;2023-12-31;19;136543;PDG REALTY S.A. EMPREEND E PARTICIPACOES;Liderança;0;35;2;5;0;0;0
02.950.811/0001-89;2023-12-31;19;136543;PDG REALTY S.A. EMPREEND E PARTICIPACOES;Não-liderança;0;64;2;35;0;0;0
