CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Codigo_Conta;Descricao_Conta;Valor;Informacao_Financeira;Tipo_Moeda;Escala_Moeda
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2019-04-01;2020-03-31;a;Patrimônio Líquido;601160592.98000000;Consolidado;Real;Unidade
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2019-04-01;2020-03-31;b;Ativo Total;2544448690.20000000;Consolidado;Real;Unidade
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2019-04-01;2020-03-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;888518310.89000000;Consolidado;Real;Unidade
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2019-04-01;2020-03-31;d;Resultado Bruto;273141166.25000000;Consolidado;Real;Unidade
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2019-04-01;2020-03-31;e;Resultado Líquido;76525852.87000000;Consolidado;Real;Unidade
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2019-04-01;2020-03-31;f;Número de Ações, Ex-Tesouraria;456199.00000000;Consolidado;Real;Unidade
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2019-04-01;2020-03-31;g;Valor Patrimonial da Ação (Reais Unidade);1317.76000000;Consolidado;Real;Unidade
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2019-04-01;2020-03-31;h;Resultado Básico por Ação;167.74000000;Consolidado;Real;Unidade
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2019-04-01;2020-03-31;i;Resultado Diluído por Ação;167.74000000;Consolidado;Real;Unidade
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2020-04-01;2021-03-31;a;Patrimônio Líquido;1135981781.69000000;Consolidado;Real;Unidade
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2020-04-01;2021-03-31;b;Ativo Total;3461100195.64000000;Consolidado;Real;Unidade
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2020-04-01;2021-03-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;1085454905.82000000;Consolidado;Real;Unidade
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2020-04-01;2021-03-31;d;Resultado Bruto;607095594.41000000;Consolidado;Real;Unidade
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2020-04-01;2021-03-31;e;Resultado Líquido;170447692.33000000;Consolidado;Real;Unidade
