CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Razao_Social;CNPJ;Tipo_Sociedade;Descricao_Atividades;Pais_Sede;UF_Sede;Municipio_Sede;Participacao_Emissor;Possui_Registro_CVM;Codigo_CVM;Razao_Aquisicao_Manutencao;Data_Valor_Mercado;Data_Valor_Contabil;Valor_Mercado;Valor_Contabil
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;785782;Banco Patagonia S.A.;08884213000135;;;;;;80.39000000;;;;;;;
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;785783;Banco Votorantim S.A.;59588111000103;;;;;;50.00000000;;;;;;;
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;785784;BB AKTIENGESELLSCHAFT (BB AG);00000000000000;;;;;;100.00000000;;;;;;;
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;785785;BB Cayman Islands Holding;05528375000142;;;;;;100.00000000;;;;;;;
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;785786;BB Elo Cartões Participações S.A.;05105802000180;;;;;;100.00000000;;;;;;;
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;785787;BB Gestão de Recursos - Distribuidora de Títulos e Val. Mobiliários S.A.;30822936000169;;;;;;100.00000000;;;;;;;
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;785788;BB Leasing S.A. - Arrendamento Mercantil;31546476000156;;;;;;100.00000000;;;;;;;
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;785789;BB Seguridade Participações S.A.;17344597000194;;;;;;66.25000000;;;;;;;
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;785790;BB-Banco de Investimento S.A.;24933830000130;;;;;;100.00000000;;;;;;;
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;776876;BRB - Crédito, Financiamento e Investimento S.A.;33136888000143;;;;;;100.00000000;;;;;;;
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;776877;BRB-DTVM Distribuidora de Títulos e Valores Mobiliários S.A.;33850686000169;;;;;;99.00000000;;;;;;;
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;776878;Cartão BRB S.A.;01984199000100;;;;;;100.00000000;;;;;;;
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;782081;AES BRASIL (ANTIGA AES TIETÊ S.A.);37663076000107;;;;;;0.52600000;;;;;;;
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;782082;Auren Energia S.A. (antiga CESP - Companhia Energética de São Paulo S.A.);28594234000123;;;;;;0.05200000;;;;;;;
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;782083;CEB LAJEADO S.A.;03677638000150;;;;;;40.07000000;;;;;;;
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;782084;Centrais Elétricas de Santa Catarina S.A.;83878892000155;;;;;;10.75100000;;;;;;;
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;782085;Centrais Elétricas do Norte do Brasil S/A - Eletronorte;00357038000116;;;;;;100.00000000;;;;;;;
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;782086;Enel Green Power Cachoeira Dourada S.A.;01672223000168;;;;;;0.12700000;;;;;;;
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;782087;Companhia Energética de Roraima;05938444000196;;;;;;0.00200000;;;;;;;
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;782088;Cia. Energética De Brasília;00070698000111;;;;;;2.09500000;;;;;;;
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;782089;CGT ELETROSUL;02016507000169;;;;;;100.00000000;;;;;;;
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;782090;Companhia Energética do Ceará;07047251000170;;;;;;7.06000000;;;;;;;
