CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Data_Encerramento;Variacao_Percentual_Valor_Contabil;Variacao_Percentual_Valor_Mercado;Valor_Montante_Dividendos_Recebidos
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;742117;2023-03-31;0.00000000;0.00000000;0.00
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;742117;2022-03-31;-3.19384600;0.00000000;5873741.58
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;742117;2021-03-31;5.74342900;0.00000000;0.00
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;742117;2020-03-31;22.73976000;0.00000000;5158000.00
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;742118;2023-03-31;0.00000000;0.00000000;0.00
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;742118;2022-03-31;-1.66777800;0.00000000;4800000.00
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;742118;2021-03-31;11.99824800;0.00000000;1559152.72
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;742118;2020-03-31;43.88875000;0.00000000;3502000.00
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;742119;2023-03-31;0.00000000;0.00000000;0.00
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;742119;2022-03-31;19.11434000;0.00000000;0.00
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;742119;2021-03-31;-19.62160000;0.00000000;0.00
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;742119;2020-03-31;36.36364000;0.00000000;-22000.00
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;742120;2023-03-31;0.00000000;0.00000000;0.00
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;742120;2022-03-31;10.73748000;0.00000000;8161008.59
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;742120;2021-03-31;39.10546800;0.00000000;14000000.00
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;742120;2020-03-31;56.19363000;0.00000000;12425000.00
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;740493;2023-03-31;0.00000000;0.00000000;0.00
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;740493;2022-03-31;27.74000000;0.00000000;0.00
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;740493;2021-03-31;27.43106000;0.00000000;0.00
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;740493;2020-03-31;66.37488700;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758573;2023-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758573;2022-06-30;21.82261400;0.00000000;100000000.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758573;2021-06-30;-0.60000000;0.00000000;39260000.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758573;2020-06-30;100.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758574;2023-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758574;2022-06-30;3.82376600;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758574;2021-06-30;3.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758574;2020-06-30;42.20000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758575;2023-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758575;2022-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758575;2021-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758575;2020-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758576;2023-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758576;2022-06-30;-20.15562500;0.00000000;26733000.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758576;2021-06-30;21.50000000;0.00000000;18000000.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758576;2020-06-30;-8.10000000;0.00000000;19444000.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758577;2023-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758577;2022-06-30;-13.39323400;0.00000000;23962000.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758577;2021-06-30;7.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758577;2020-06-30;6.00000000;0.00000000;9104000.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758578;2023-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758578;2022-06-30;9.11911600;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758578;2021-06-30;-1.70000000;0.00000000;5000000.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758578;2020-06-30;2.70000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758579;2023-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758579;2022-06-30;56.08324400;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758579;2021-06-30;-32.80000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758579;2020-06-30;595.50000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758580;2023-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758580;2022-06-30;-68.75000000;0.00000000;0.00
