CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Diluicao_Potencial;Preco_Medio_Ponderado_Opcoes_Em_Aberto;Preco_Medio_Ponderado_Opcoes_Perdidas;Preco_Medio_Ponderado_Opcoes_Exercidas
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Diretoria Estatutária;10.75;0.00;0.000000;0.00;0.00;0.00
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.33;1.00;0.010000;2.52;0.00;0.00
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;7.00;7.00;0.050000;6.76;0.00;0.00
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;1.00;0.010000;2.52;0.00;2.52
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;1.00;0.000000;0.00;0.00;0.00
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2020-01-01;2020-12-31;Conselho de Administração;4.00;0.00;0.000000;0.00;0.00;0.00
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Conselho de Administração;4.00;0.00;0.000000;0.00;0.00;0.00
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;0.00;0.000000;0.00;0.00;0.00
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;2.00;0.000000;0.00;0.00;0.00
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;0.000000;0.00;0.00;0.00
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2020-01-01;2020-12-31;Diretoria Estatutária;10.33;9.00;0.050000;0.00;0.00;33.72
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Diretoria Estatutária;6.50;4.17;0.050000;0.00;0.00;32.40
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;0.050000;0.00;0.00;14.50
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;2020-01-01;2020-12-31;Conselho de Administração;9.91;0.00;0.000000;0.00;0.00;0.00
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;6.66;0.00;0.000000;0.00;0.00;0.00
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.75;7.00;0.600000;0.00;0.00;3.49
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.66;7.00;0.370000;0.00;0.00;3.49
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.67;0.00;0.000000;0.00;0.00;0.00
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;6.00;0.750000;4.41;0.00;0.00
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;2.300000;4.41;0.00;0.00
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;6.00;0.760000;2.27;0.00;0.00
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;2.800000;2.27;0.00;2.19
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;4.00;0.420000;2.15;0.00;0.00
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;9.00;9.00;0.830000;2.15;0.00;2.17
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2020-01-01;2020-12-31;Conselho de Administração;7.00;3.00;0.590000;0.04;0.00;0.00
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;10.00;10.00;4.620000;0.04;0.00;2.14
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2020-01-01;2020-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;8.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2020-01-01;2020-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2021-01-01;2021-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;8.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2022-01-01;2022-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;8.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2023-01-01;2023-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;0.00;0.000000;0.00;0.00;0.00
