CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Total_Remuneracao;Orgao_Administracao;Numero_Membros;Total_Remuneracao_Orgao;Numero_Membros_Remunerados;Salario;Beneficios_Diretos_Indiretos;Participacoes_Comites;Outros_Valores_Fixos;Descricao_Outros_Remuneracoes_Fixas;Bonus;Participacao_Resultados;Participacao_Reunioes;Outros_Valores_Variaveis;Comissoes;Descricao_Outros_Remuneracoes_Variaveis;Pos_emprego;Cessacao_Cargo;Baseada_Acoes;Observacao
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;2022-01-01;2022-12-31;44434242.05;Conselho de Administração;8.00;65230.18;1.25;65230.18;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;2022-01-01;2022-12-31;44434242.05;Diretoria Estatutária;31.83;43997780.67;31.83;22877213.56;3533055.58;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;10012413.52;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;52177.45;7522920.56;PROBLEMA SISTÊMICO - a informação correta para o campo "nº de membros remunerados" é 38,92. O sistema não aceita a inclusão do número correto nos itens 8.2, 8.3 e 8.15. Para permitir a inclusão dos dados e finalizar a entrega deste Formulário, fizemos o ajuste manual e estamos incluindo esta observação.O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;2022-01-01;2022-12-31;44434242.05;Conselho Fiscal;5.00;371231.20;5.00;371231.20;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;2023-01-01;2023-12-31;74685484.57;Conselho de Administração;8.00;626209.92;8.00;626209.92;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado.
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;2023-01-01;2023-12-31;74685484.57;Diretoria Estatutária;33.00;73667893.45;33.00;25831154.45;10083513.25;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;12915577.23;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;11922071.29;12915577.23;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado.
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;2023-01-01;2023-12-31;74685484.57;Conselho Fiscal;5.00;391381.20;5.00;391381.20;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado.
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;2020-01-01;2020-12-31;49595534.00;Conselho de Administração;7.58;312355.78;4.42;312355.78;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;2020-01-01;2020-12-31;49595534.00;Diretoria Estatutária;33.50;48951217.74;33.50;23845535.40;4307342.26;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;9163052.97;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;833824.37;10801462.74;PROBLEMA SISTÊMICO - a informação correta para o campo "nº de membros remunerados" é 41,17. O sistema não aceita a inclusão do número correto nos itens 8.2, 8.3 e 8.15. Para permitir a inclusão dos dados e finalizar a entrega deste Formulário, fizemos o ajuste manual e estamos incluindo esta observação.O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;2020-01-01;2020-12-31;49595534.00;Conselho Fiscal;4.50;331960.48;4.50;331960.48;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;PROBLEMA SISTÊMICO - a informação correta para o campo "nº de membros remunerados" é 4,50. O sistema não aceita a inclusão do número correto nos itens 8.2, 8.3 e 8.15. Para permitir a inclusão dos dados e finalizar a entrega deste Formulário, fizemos o ajuste manual e estamos incluindo esta observação.O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;2021-01-01;2021-12-31;43569329.46;Conselho de Administração;8.00;283645.38;4.25;283645.38;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.
