CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Nome_Responsavel;Cargo_Responsavel
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Marco Geovanne Tobias da Silva;Diretor de Relações com Investidores
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Taciana Paula Gomes Medeiros;Diretor Presidente
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Paulo Henrique Bezerra Rodrigues Costa;Diretor Presidente
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Dario Oswaldo Garcia Júnior;Diretor de Relações com Investidores
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ivan de Souza Monteiro;Diretor Presidente
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eduardo Haiama;Diretor de Relações com Investidores
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;BRÁS KLEYBER BORGES TEODORO;Diretor de Relações com Investidores
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Júlio César da Costa;Diretor Presidente
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Marcus Erich Thieme;Diretor de Relações com Investidores
00.192.769/0001-59;2023-12-31;1;127620;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Bruno Stefani Rocha;Diretor de Relações com Investidores
00.192.769/0001-59;2023-12-31;1;127620;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Bruno Stefani Rocha;Diretor Presidente
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Clarissa Della Nina Sadock Accorsi;Diretor Presidente/Relações com Investidores
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Fernando Pereira Aragão;Diretor Presidente
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Cássio Lucato Castardelli;Diretor de Relações com Investidores
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;José Guilherme Cruz Souza;Diretor de Relações com Investidores
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Bruno Augusto Sacchi Zaremba;Diretor Presidente
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;TATIANA RÚBIA MELO MIRANDA;Diretor de Relações com Investidores
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;FREDERICO DE SIQUEIRA FILHO;Diretor Presidente
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;ANA CAROLINA PAIFER;Diretor Presidente
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;DANILO RODRIGO CISOTTO;Diretor de Relações com Investidores
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Aloizio Mercadante Oliva;Diretor Presidente
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Natália Maria Rapassi Dias Melo;Diretor de Relações com Investidores
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;ALEXANDRE CORRÊA ABREU;Diretor de Relações com Investidores
00.389.481/0001-79;2023-12-31;6;136664;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Ricardo Soeiro dos Santos Cunha;Diretor Presidente
00.389.481/0001-79;2023-12-31;6;136664;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;André Passos Miranda;Diretor de Relações com Investidores
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Leoze Lobo Maia Junior;Diretor de Relações com Investidores
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Luiz Otavio Assis Henriques;Diretor Presidente/Relações com Investidores
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Carlos Eduardo Reich de Sampaio;Diretor Presidente/Relações com Investidores
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Leonardo Coelho Pereira;Diretor Presidente
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Camille Loyo Faria;Diretor de Relações com Investidores
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Maurício Perez Botelho;Diretor de Relações com Investidores
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Ricardo Perez Botelho;Diretor Presidente
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;André Luiz Chieppe;Diretor de Relações com Investidores
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;Patrícia Poubel Chieppe;Diretor Presidente
00.897.864/0001-58;2023-12-31;1;124388;SANTA CATARINA PART INVEST SA;André Luiz Von Knoblauch;Diretor Presidente/Relações com Investidores
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Alessandro Pena da Gama;Diretor Presidente
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Leandro Fulgencio Vieira;Diretor de Relações com Investidores
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Carlos Eduardo Soares de Menezes;Diretor Presidente/Relações com Investidores
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;Marcus Vinicius Figur da Rosa (Diretor Superintendente);Diretor Presidente
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;Osvaldo Garcia;Diretor de Relações com Investidores
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;Luis Antonio Medina Gomez;Diretor de Relações com Investidores
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;Carlos Eduardo Provenzano;Diretor Presidente
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Filipe Augusto dos Santos Oliveira;Diretor de Relações com Investidores
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Estanislau Mendes Llobatera Bassols;Diretor Presidente
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Eduardo Capelastegui Saiz;Diretor Presidente
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Leonardo Pimenta Gadelha;Diretor de Relações com Investidores
