CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Data_Fim_Trimestre;Valor_Mobiliario;Mercado_Valor_Mobiliario;Entidade_Administradora_Mercado;Especie_Acao;Classe_Acao_Preferencial;Descricao_Outro_Valor_Mobiliario;Valor_Volume_Negociado;Valor_Maior_Cotacao;Valor_Menor_Cotacao;Escala_Cotacao;Valor_Cotacao_Media
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2021-04-01;2022-03-31;2021-06-30;Ações;Balcão Organizado;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;432753778.00;10.79;7.77;Reais por ação;8.90
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2021-04-01;2022-03-31;2021-09-30;Ações;Balcão Organizado;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;463270000.00;10.77;8.08;Reais por ação;9.74
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2021-04-01;2022-03-31;2021-12-31;Ações;Balcão Organizado;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;423158575.00;10.64;8.29;Reais por ação;9.62
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2021-04-01;2022-03-31;2022-03-31;Ações;Balcão Organizado;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;527763880.00;11.46;9.11;Reais por ação;10.23
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2020-04-01;2021-03-31;2021-03-31;Ações;Balcão Organizado;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;474600000.00;9.04;7.40;Reais por ação;8.25
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2021-07-01;2022-06-30;2022-06-30;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;23649931.00;31.53;21.94;Reais por ação;27.67
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2021-07-01;2022-06-30;2022-03-31;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;25225597.00;29.58;22.27;Reais por ação;25.62
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2021-07-01;2022-06-30;2021-12-31;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;23521673.00;25.58;19.87;Reais por ação;22.52
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2021-07-01;2022-06-30;2021-09-30;Ações;Balcão Organizado;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;18272967.00;23.96;19.71;Reais por ação;21.99
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2020-07-01;2021-06-30;2021-06-30;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;36732917.00;32.85;19.76;Reais por ação;25.88
